"Ref"         "H0"    "OmegaM"  "OmegaL"  "OmegaR"      "Sigma8"
"737"         70.0    0.300     0.700     NA            NA
"137"         100.0   0.300     0.700     NA            NA
"Planck"      68.7    0.297     0.703     8.913565e-05  0.799
"Planck13"    67.3    0.315     0.685     9.289295e-05  0.829 
"Planck15"    67.8    0.308     0.692     9.150327e-05  0.815
"Planck18"    68.7    0.297     0.703     8.913565e-05  0.799
"WMAP"        69.7    0.288     0.712     8.780488e-05  0.817  
"WMAP9"       69.7    0.288     0.712     8.780488e-05  0.817  
"WMAP7"       70.4    0.275     0.725     8.569648e-05  0.816  
"WMAP5"       70.5    0.274     0.726     8.45679e-05   0.812  
"WMAP3"       70.4    0.268     0.732     NA            0.776  
"WMAP1"       72.0    0.290     0.710     NA            0.900
"Millennium"  73.0    0.250     0.750     NA            0.900  
"GiggleZ"     70.5    0.273     0.727     NA            0.812  
